city_id,name,n_box,n_voter
47,MİDYAT,256,76850
47,NUSAYBİN,241,73998
47,ÖMERLİ,43,9173
47,SAVUR,67,16148
47,YEŞİLLİ,31,8511
48,BODRUM,427,150713
48,DALAMAN,107,35771
48,DATÇA,62,21028
48,FETHİYE,371,129565
48,KAVAKLIDERE,30,8499
48,KÖYCEĞİZ,96,31151
48,MARMARİS,207,73444
48,MENTEŞE,269,88596
48,MİLAS,379,116664
48,ORTACA,126,42604
48,SEYDİKEMER,162,48948
48,ULA,74,22176
48,YATAĞAN,125,36598
49,BULANIK,156,44272
49,HASKÖY,52,15401
49,KORKUT,56,14108
49,MALAZGİRT,117,27457
49,MUŞ MERKEZ,396,120826
49,VARTO,83,20505
50,ACIGÖL,43,14023
50,AVANOS,86,25480
50,DERİNKUYU,51,15208
50,GÜLŞEHİR,66,16685
50,HACIBEKTAŞ,46,8825
50,KOZAKLI,51,10512
50,NEVŞEHİR MERKEZ,309,106100
50,ÜRGÜP,96,28527
51,ALTUNHİSAR,29,8611
51,BOR,152,45418
51,ÇAMARDI,39,9252
51,ÇİFTLİK,55,17319
51,NİĞDE MERKEZ,478,161418
51,ULUKIŞLA,67,16084
52,AKKUŞ,77,17603
52,ALTINORDU,511,175035
52,AYBASTI,58,15933
52,ÇAMAŞ,31,7088
52,ÇATALPINAR,40,10109
52,ÇAYBAŞI,40,9276
52,FATSA,304,96173
52,GÖLKÖY,82,21443
52,GÜLYALI,26,7334
52,GÜRGENTEPE,40,10835
52,İKİZCE,52,10712
52,KABADÜZ,25,6029
52,KABATAŞ,28,8406
52,KORGAN,72,20858
52,KUMRU,78,22044
52,MESUDİYE,78,11089
52,PERŞEMBE,110,25555
52,ULUBEY,67,15123
52,ÜNYE,373,99929
53,ARDEŞEN,123,32329
53,ÇAMLIHEMŞİN,40,5979
53,ÇAYELİ,139,33633
53,DEREPAZARI,24,5562
53,FINDIKLI,54,13243
53,GÜNEYSU,46,11889
53,HEMŞİN,13,2163
53,İKİZDERE,39,5443
53,İYİDERE,27,6981
53,KALKANDERE,42,9757
53,PAZAR,106,25756
53,RİZE MERKEZ,351,112457
54,ADAPAZARI,585,204679
54,AKYAZI,222,70517
54,ARİFİYE,107,34994
54,ERENLER,192,66517
54,FERİZLİ,66,20571
54,GEYVE,148,38189
54,HENDEK,224,65464
54,KARAPÜRÇEK,34,9844
54,KARASU,166,54031
54,KAYNARCA,75,18888
54,KOCAALİ,67,18712
54,PAMUKOVA,83,23105
54,SAPANCA,103,32977
54,SERDİVAN,300,108280
54,SÖĞÜTLÜ,44,11817
54,TARAKLI,28,5338
55,45065,77,20680
55,ALAÇAM,91,20284
55,ASARCIK,51,11803
55,ATAKUM,477,170898
55,AYVACIK,60,14725
55,BAFRA,372,111271
55,CANİK,224,73136
55,ÇARŞAMBA,350,106137
55,HAVZA,142,30276
55,İLKADIM,689,245050
55,KAVAK,110,18273
55,LADİK,81,13306
55,SALIPAZARI,62,15619
55,TEKKEKÖY,145,43343
55,TERME,196,57367
55,VEZİRKÖPRÜ,262,64717
55,YAKAKENT,28,7132
56,BAYKAN,61,15126
56,ERUH,73,11004
56,KURTALAN,140,37495
56,PERVARİ,67,16655
56,SİİRT MERKEZ,319,106632
56,ŞİRVAN,73,12249
56,TİLLO,12,2692
57,AYANCIK,104,19656
57,BOYABAT,171,33933
57,DİKMEN,34,4167
57,DURAĞAN,92,12976
57,ERFELEK,56,10563
57,GERZE,90,23102
57,SARAYDÜZÜ,33,4955
57,SİNOP MERKEZ,160,49884
57,TÜRKELİ,52,12510
58,AKINCILAR,39,4124
58,ALTINYAYLA,27,6424
58,DİVRİĞİ,142,13283
58,DOĞANŞAR,32,2303
58,GEMEREK,79,17055
58,GÖLOVA,33,2736
58,GÜRÜN,96,13851
58,HAFİK,86,7164
58,İMRANLI,106,5946
58,KANGAL,136,15782
58,KOYULHİSAR,68,10232
58,SİVAS MERKEZ,859,269175
58,SUŞEHRİ,108,19399
58,ŞARKIŞLA,159,27800
58,ULAŞ,47,6370
58,YILDIZELİ,152,21648
58,ZARA,162,17221
59,ÇERKEZKÖY,391,144266
59,ÇORLU,593,218432
59,ERGENE,143,50856
59,HAYRABOLU,97,24645
59,KAPAKLI,270,98617
59,MALKARA,154,41750
59,MARMARAEREĞLİSİ,67,23934
59,MURATLI,74,23743
59,SARAY,121,40138
59,SÜLEYMANPAŞA,485,162958
59,ŞARKÖY,92,28231
60,ALMUS,77,15514
60,ARTOVA,36,5822
60,BAŞÇİFTLİK,18,3563
60,ERBAA,267,74891
60,NİKSAR,200,47156
60,PAZAR,40,10056
60,REŞADİYE,132,22599
60,SULUSARAY,25,4791
60,TOKAT MERKEZ,473,145898
60,TURHAL,209,60802
60,YEŞİLYURT,31,6150
60,ZİLE,201,42421
61,AKÇAABAT,351,96125
61,ARAKLI,141,36039
61,ARSİN,85,23350
61,BEŞİKDÜZÜ,62,17502
61,ÇARŞIBAŞI,46,12340
61,ÇAYKARA,59,11036
61,DERNEKPAZARI,16,3228
61,DÜZKÖY,38,10636
61,HAYRAT,40,6589
61,KÖPRÜBAŞI,21,3747
61,MAÇKA,101,20511
61,OF,132,34151
61,ORTAHİSAR,699,241923
61,SÜRMENE,91,20217
61,ŞALPAZARI,39,8923
61,TONYA,41,11297
61,VAKFIKEBİR,82,21462
61,YOMRA,112,32890
62,ÇEMİŞGEZEK,34,5801
62,HOZAT,21,4360
62,MAZGİRT,46,6355
62,NAZIMİYE,21,2669
62,OVACIK,41,5591
62,PERTEK,48,8755
62,PÜLÜMÜR,20,3085
62,TUNCELİ MERKEZ,105,28955
63,AKÇAKALE,219,58148
63,BİRECİK,199,56776
63,BOZOVA,138,33079
63,CEYLANPINAR,166,51482
63,EYYÜBİYE,622,203950
63,HALFETİ,99,26737
63,HALİLİYE,705,227406
63,HARRAN,181,43635
63,HİLVAN,119,26452
63,KARAKÖPRÜ,502,165309
63,SİVEREK,512,152672
63,SURUÇ,219,59936
63,VİRANŞEHİR,401,114277
64,BANAZ,104,27949
64,EŞME,115,27794
64,KARAHALLI,30,8169
64,SİVASLI,54,15532
64,ULUBEY,47,10185
64,UŞAK MERKEZ,577,190823
65,BAHÇESARAY,36,8063
65,BAŞKALE,109,27346
65,ÇALDIRAN,130,33277
65,ÇATAK,54,11957
65,EDREMİT,239,82452
65,ERCİŞ,341,104040
65,GEVAŞ,67,18200
65,GÜRPINAR,103,20775
65,İPEKYOLU,643,229342
65,MURADİYE,103,27480
65,ÖZALP,129,35797
65,SARAY,43,11790
65,TUŞBA,297,96092
66,AKDAĞMADENİ,135,28593
66,AYDINCIK,38,7657
66,BOĞAZLIYAN,96,25378
66,ÇANDIR,15,3458
66,ÇAYIRALAN,42,9297
66,ÇEKEREK,70,14152
66,KADIŞEHRİ,39,7474
66,SARAYKENT,35,7911
66,SARIKAYA,108,23928
66,SORGUN,229,57904
66,ŞEFAATLİ,69,11254
66,YENİFAKILI,20,4352
66,YERKÖY,123,26532
66,YOZGAT MERKEZ,276,72061
67,ALAPLI,120,33086
67,ÇAYCUMA,264,74393
67,DEVREK,171,46102
67,EREĞLİ,431,134726
67,GÖKÇEBEY,62,17193
67,KİLİMLİ,86,26211
67,KOZLU,117,36385
67,ZONGULDAK MERKEZ,285,89555
68,AĞAÇÖREN,38,6076
68,AKSARAY MERKEZ,657,214657
68,ESKİL,73,19056
68,GÜLAĞAÇ,46,13606
68,GÜZELYURT,31,7872
68,ORTAKÖY,83,23211
68,SARIYAHŞİ,17,3714
68,SULTANHANI,25,8087
69,AYDINTEPE,30,4877
69,BAYBURT MERKEZ,221,46433
